video_id,rally_id,event_rank,event_frame_original,prev_event_frame_original,next_event_frame_original,window_start_original,window_end_original,event_offset_frames,frame_count,window_strategy,clip_id,reference_frame_count,frame_count_abs_error
40,28,12,31568,31539,,31539,31582,29,44,bst-compatible,40_1_27_13,44,0
40,29,1,32147,,,32132,32161,15,30,bst-compatible,40_1_28_2,60,30
40,30,1,32474,,32529,32459,32525,15,67,bst-compatible,40_1_29_1,68,1
40,30,2,32529,32474,32544,32484,32550,45,67,bst-compatible,40_1_29_2,67,0
40,30,3,32544,32529,32576,32529,32582,15,54,bst-compatible,40_1_29_3,54,0
40,30,4,32576,32544,32593,32544,32599,32,56,bst-compatible,40_1_29_4,56,0
40,30,5,32593,32576,32617,32576,32623,17,48,bst-compatible,40_1_29_5,48,0
40,30,6,32617,32593,32646,32593,32652,24,60,bst-compatible,40_1_29_6,60,0
40,30,7,32646,32617,32655,32617,32661,29,45,bst-compatible,40_1_29_7,45,0
40,30,8,32655,32646,33009,32646,32706,9,61,bst-compatible,40_1_29_8,25,36
40,30,9,33009,32655,33065,32964,33060,45,97,bst-compatible,40_1_30_1,67,30
40,30,10,33065,33009,33089,33020,33095,45,76,bst-compatible,40_1_30_2,77,1
40,30,11,33089,33065,33118,33065,33124,24,60,bst-compatible,40_1_30_3,60,0
40,30,12,33118,33089,33128,33089,33134,29,46,bst-compatible,40_1_30_4,47,1
40,30,13,33128,33118,33155,33118,33161,10,44,bst-compatible,40_1_30_5,45,1
40,30,14,33155,33128,33177,33128,33183,27,56,bst-compatible,40_1_30_6,57,1
40,30,15,33177,33155,33205,33155,33211,22,57,bst-compatible,40_1_30_7,58,1
40,30,16,33205,33177,33218,33177,33224,28,48,bst-compatible,40_1_30_8,49,1
40,30,17,33218,33205,33248,33205,33254,13,50,bst-compatible,40_1_30_9,51,1
40,30,18,33248,33218,33278,33218,33284,30,67,bst-compatible,40_1_30_10,68,1
40,30,19,33278,33248,33328,33248,33329,30,82,bst-compatible,40_1_30_11,83,1
40,30,20,33328,33278,,33283,33342,45,60,bst-compatible,40_1_30_12,60,0
40,31,1,33729,,33773,33714,33779,15,66,bst-compatible,40_1_31_1,67,1
40,31,2,33773,33729,33821,33729,33824,44,96,bst-compatible,40_1_31_2,97,1
40,31,3,33821,33773,33845,33776,33851,45,76,bst-compatible,40_1_31_3,77,1
40,31,4,33845,33821,33877,33821,33883,24,63,bst-compatible,40_1_31_4,63,0
40,31,5,33877,33845,34501,33845,33928,32,84,bst-compatible,40_1_31_5,48,36
40,31,6,34501,33877,34561,34456,34552,45,97,bst-compatible,40_1_32_1,67,30
40,31,7,34561,34501,34590,34516,34596,45,81,bst-compatible,40_1_32_2,82,1
40,31,8,34590,34561,34606,34561,34612,29,52,bst-compatible,40_1_32_3,52,0
40,31,9,34606,34590,34645,34590,34651,16,62,bst-compatible,40_1_32_4,62,0
40,31,10,34645,34606,34681,34606,34687,39,82,bst-compatible,40_1_32_5,82,0
40,31,11,34681,34645,34717,34645,34723,36,79,bst-compatible,40_1_32_6,79,0
40,31,12,34717,34681,34759,34681,34765,36,85,bst-compatible,40_1_32_7,85,0
40,31,13,34759,34717,34784,34717,34790,42,74,bst-compatible,40_1_32_8,75,1
40,31,14,34784,34759,34814,34759,34820,25,62,bst-compatible,40_1_32_9,63,1
40,31,15,34814,34784,34864,34784,34865,30,82,bst-compatible,40_1_32_10,83,1
40,31,16,34864,34814,34890,34819,34896,45,78,bst-compatible,40_1_32_11,78,0
40,31,17,34890,34864,34921,34864,34927,26,64,bst-compatible,40_1_32_12,64,0
40,31,18,34921,34890,34946,34890,34952,31,63,bst-compatible,40_1_32_13,63,0
40,31,19,34946,34921,35003,34921,34997,25,77,bst-compatible,40_1_32_14,78,1
