video_id,rally_id,event_rank,event_frame_local,event_frame_original,window_start_local,window_end_local,window_start_original,window_end_original,context_start_original,context_end_original,prev_event_frame_original,next_event_frame_original
40,39,14,456,41346,436,462,41326,41352,41331,41361,41305,41358
40,39,15,468,41358,462,482,41352,41372,41343,41373,41346,41385
40,39,16,495,41385,482,504,41372,41394,41370,41400,41358,41404
40,39,17,514,41404,504,532,41394,41422,41389,41419,41385,41440
40,39,18,550,41440,532,574,41422,41464,41425,41455,41404,41489
40,39,19,599,41489,574,618,41464,41508,41474,41504,41440,41528
40,39,20,638,41528,618,650,41508,41540,41513,41543,41489,41553
40,39,21,663,41553,650,750,41540,41640,41538,41568,41528,
40,40,1,198,42558,0,227,42360,42587,42543,42573,,42616
40,40,2,256,42616,227,360,42587,42720,42601,42631,42558,
40,41,1,115,43105,0,145,42990,43135,43090,43120,,43165
40,41,2,175,43165,145,183,43135,43173,43150,43180,43105,43181
40,41,3,191,43181,183,204,43173,43194,43166,43196,43165,43207
40,41,4,217,43207,204,230,43194,43220,43192,43222,43181,43233
40,41,5,243,43233,230,255,43220,43245,43218,43248,43207,43257
40,41,6,267,43257,255,279,43245,43269,43242,43272,43233,43281
40,41,7,291,43281,279,310,43269,43300,43266,43296,43257,43319
40,41,8,329,43319,310,390,43300,43380,43304,43334,43281,
40,43,1,50,44210,0,78,44160,44238,44195,44225,,44266
40,43,2,106,44266,78,124,44238,44284,44251,44281,44210,44301
40,43,3,141,44301,124,153,44284,44313,44286,44316,44266,44325
40,43,4,165,44325,153,360,44313,44520,44310,44340,44301,
40,44,1,52,44842,0,60,44790,44850,44827,44857,,44858
40,44,2,68,44858,60,80,44850,44870,44843,44873,44842,44882
40,44,3,92,44882,80,108,44870,44898,44867,44897,44858,44913
40,44,4,123,44913,108,137,44898,44927,44898,44928,44882,44941
40,44,5,151,44941,137,158,44927,44948,44926,44956,44913,44954
40,44,6,164,44954,158,182,44948,44972,44939,44969,44941,44991
40,44,7,201,44991,182,208,44972,44998,44976,45006,44954,45004
40,44,8,214,45004,208,226,44998,45016,44989,45019,44991,45027
40,44,9,237,45027,226,300,45016,45090,45012,45042,45004,
40,45,1,30,45570,0,36,45540,45576,45555,45585,,45582
40,45,2,42,45582,36,58,45576,45598,45567,45597,45570,45613
40,45,3,73,45613,58,180,45598,45720,45598,45628,45582,
40,46,1,65,46385,0,96,46320,46416,46370,46400,,46447
40,46,2,127,46447,96,134,46416,46454,46432,46462,46385,46461
40,46,3,141,46461,134,154,46454,46474,46446,46476,46447,46486
40,46,4,166,46486,154,182,46474,46502,46471,46501,46461,46517
40,46,5,197,46517,182,204,46502,46524,46502,46532,46486,46530
40,46,6,210,46530,204,223,46524,46543,46515,46545,46517,46556
40,46,7,236,46556,223,330,46543,46650,46541,46571,46530,
40,47,1,1,46981,0,1,46980,46981,46980,46996,,46981
40,47,2,1,46981,1,10,46981,46990,46980,46996,46981,47000
40,47,3,20,47000,10,34,46990,47014,46985,47015,46981,47027
40,47,4,47,47027,34,71,47014,47051,47012,47042,47000,47075
40,47,5,95,47075,71,109,47051,47089,47060,47090,47027,47103
40,47,6,123,47103,109,210,47089,47190,47088,47118,47075,
40,48,1,195,47685,0,225,47490,47715,47670,47700,,47745
40,48,2,255,47745,225,264,47715,47754,47730,47760,47685,47763
40,48,3,273,47763,264,288,47754,47778,47748,47778,47745,47792
40,48,4,302,47792,288,322,47778,47812,47777,47807,47763,47831
40,48,5,341,47831,322,348,47812,47838,47816,47846,47792,47844
40,48,6,354,47844,348,370,47838,47860,47829,47859,47831,47876
